"Other effects of air pressure and water pressure, sequela",T708
"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V566
"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V566
"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela",V566
"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V567
"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V567
"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela",V567
"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V569
"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V569
"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela",V569
"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V570
"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V570
"Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela",V570
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V571
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V571
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela",V571
"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V572
"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V572
"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela",V572
"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V573
"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V573
"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident, sequela",V573
"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object, initial encounter",V574
"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object, subsequent encounter",V574
"Person boarding or alighting a pick-up truck or van injured in collision with fixed or stationary object, sequela",V574
"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter",V575
"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V575
"Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela",V575
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter",V576
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V576
"Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela",V576
"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter",V577
"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V577
"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela",V577
"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, initial encounter",V579
"Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V579
