Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, sequela",S520
"Displaced fracture of coronoid process of right ulna, initial encounter for closed fracture",S520
"Displaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of coronoid process of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of coronoid process of right ulna, sequela",S520
"Displaced fracture of coronoid process of left ulna, initial encounter for closed fracture",S520
"Displaced fracture of coronoid process of left ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of coronoid process of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of coronoid process of left ulna, sequela",S520
"Displaced fracture of coronoid process of unspecified ulna, initial encounter for closed fracture",S520
"Displaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with malunion",S520
